Description,Amount,Category
Flight booking with AeroZoom,875.00,travel
Salary from PixelCorp,3700.00,salary
Online shopping at SwiftBuy,95.60,shopping
Medical bill at MedCare Clinic,330.00,medical
Purchase at BudgetMart grocery store,58.75,groceries
Monthly rent to Anna Lee,990.00,rent
Utility bill payment to HydroCity,88.30,utilities
Tickets from NightFest Events,40.00,entertainment
Flight booking with AeroZoom,875.00,travel
Salary from PixelCorp,3700.00,salary
Online shopping at SwiftBuy,95.60,shopping
Medical bill at MedCare Clinic,330.00,medical
Purchase at SuperSaver grocery store,49.99,groceries
Monthly rent to Brian Miller,1320.00,rent
Utility bill payment to VoltEnergy,112.20,utilities
Tickets from ShowPass,60.00,entertainment
Flight booking with FlyAway Airlines,540.00,travel
Salary from CodeSphere Inc,4100.00,salary
Online shopping at DailyDeals,75.40,shopping
Medical bill at Northside Medical,295.65,medical
Purchase at QuickGrocers grocery store,35.25,groceries
Monthly rent to Emma White,1150.00,rent
Utility bill payment to SolarCity,99.99,utilities
Tickets from CineStar Events,50.00,entertainment
Flight booking with AirLink,699.50,travel
Salary from NextGen Apps,2800.00,salary
Online shopping at ZenCart,130.00,shopping
Medical bill at HeartCare Center,360.45,medical
Purchase at HappyFoods grocery store,85.00,groceries
Monthly rent to Grace Thompson,1235.00,rent
Utility bill payment to AquaSource,76.45,utilities
Tickets from FestivalNet,72.00,entertainment
Flight booking with CloudAir,645.99,travel
Salary from SkyLogic Inc,4600.00,salary
Online shopping at BuyRight,101.90,shopping
Medical bill at Metro Hospital,415.00,medical
Purchase at CityGrocery grocery store,61.10,groceries
Monthly rent to Henry Scott,1100.00,rent
Utility bill payment to ElectraFlow,93.25,utilities
Tickets from PrimeStage,37.00,entertainment
Flight booking with DreamJet,950.00,travel
Salary from RocketDev,3850.00,salary
Online shopping at UrbanCart,124.00,shopping
Medical bill at Silverline Clinic,280.00,medical
Purchase at GreenChoice grocery store,73.99,groceries
Monthly rent to Olivia Adams,1420.00,rent
Utility bill payment to SmartUtilities,108.50,utilities
Tickets from MusicWave,48.00,entertainment
Flight booking with SkySprint,712.40,travel
Salary from BlueWave Inc,3900.00,salary
Online shopping at DealArena,117.75,shopping
Medical bill at RiverSide Health,342.00,medical
Purchase at DailyMart grocery store,66.20,groceries
Monthly rent to Jason Reed,1085.00,rent
Utility bill payment to CityPower,83.45,utilities
Tickets from EventGate,42.00,entertainment
Flight booking with QuickAir,830.00,travel
Salary from InfinityCode,4050.00,salary
Online shopping at InstaShop,140.90,shopping
Medical bill at Nova Medical Center,375.00,medical
Purchase at LocalHarvest grocery store,58.80,groceries
Monthly rent to Linda Brooks,1275.00,rent
Utility bill payment to GreenPower,101.20,utilities
Tickets from ShowTime Co,67.00,entertainment
Flight booking with FlyZone,610.45,travel
Salary from DevNova Corp,2950.00,salary
Online shopping at SnapStore,118.60,shopping
Medical bill at FamilyHealth Hospital,309.25,medical
Purchase at GoGrocery grocery store,41.99,groceries
Monthly rent to Ronald Evans,1160.00,rent
Utility bill payment to SmartPower Inc,87.75,utilities
Tickets from LiveStage,44.50,entertainment
Flight booking with JetSky,770.00,travel
Salary from BitForge Solutions,3500.00,salary
Online shopping at ShopTime,90.10,shopping
Medical bill at Central Health Center,332.80,medical
Purchase at ValueFoods grocery store,63.40,groceries
Monthly rent to Emily Watson,1300.00,rent
Utility bill payment to ClearEnergy,115.00,utilities
Tickets from GrooveFest,55.25,entertainment
Flight booking with SwiftFlight,930.00,travel
Salary from AppFactory Ltd,3100.00,salary
Online shopping at DealNation,125.00,shopping
Medical bill at HealthyLife Clinic,420.00,medical
Purchase at FreshMarket grocery store,53.30,groceries
Monthly rent to Patrick Turner,1190.00,rent
Utility bill payment to EnergyLink,98.45,utilities
Tickets from FunLand Events,38.00,entertainment
Flight booking with CloudJet,690.99,travel
Salary from LogicBase Inc,3700.00,salary
Online shopping at BestMart,110.80,shopping
Medical bill at CarePoint Hospital,298.75,medical
Purchase at GreenFields grocery store,47.00,groceries
Monthly rent to Angela Simmons,1000.00,rent
Utility bill payment to HydroWave,92.60,utilities
Tickets from StagePass,46.00,entertainment
Flight booking with OpenSkies,765.50,travel
Salary from SwiftApps Corp,4450.00,salary
Online shopping at RapidDeals,150.00,shopping
Medical bill at VitalMed Center,385.20,medical
